R1_closing_AIR,R1_opening_AIR,seats_in_band,state,college
8011,8011,1,Maharashtra,"Government Medical College, Nashik"
8069,8069,1,DNH & DD,"Namo Medical Education & Research Institute, Govt Medical College Silvassa"
8176,8037,2,Tamil Nadu,"Gvmc, Villupuram"
8209,8209,1,Telangana,Government Medical College Suryapet
8222,8222,1,Himachal Pradesh,"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba"
8228,8095,3,Tamil Nadu,"Govt. Dharamapuri Med Coll, Dharmapuri"
8374,8304,2,Tamil Nadu,"Irt Perundurai Medical College, Perundurai"
8390,8028,3,West Bengal,"Sagar Dutta Medical College & Hospital, Kolkata"
8400,8325,2,Madhya Pradesh,"S.S. Medical College, Rewa"
8491,8491,1,Rajasthan,Govt Medical College
8652,8141,3,Rajasthan,Govt Medical College Barmer Rajasthan
8718,8716,2,Odisha,"Sri Jagannath Medical College & Hospital, Puri"
8746,8746,1,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur"
8815,8552,2,Andhra Pradesh,"Sri Venkateswara Medical College, Tirupati"
8827,8658,4,Bihar,"Atal Bihari Vajpayee Government Medical College, Vidisha"
8875,8034,4,Puducherry,"Indira Gandhi Medical College & Ri, Puducherry"
8914,8770,4,Tamil Nadu,"Government Medical College, Tiruppur"
8923,8078,6,Karnataka,"Hassan Inst. Medical Sciences, Hassan"
8943,8943,1,Rajasthan,"Government Medical College, Jhunjhunu"
8974,8261,2,Telangana,Kakatiya Medical College Warangal
9008,8523,3,Rajasthan,"Government Medical College Chittorgarh, Government Medical College Chittorgarh"
9034,8322,3,Tamil Nadu,"Government Medical College, Nilgiris"
9156,9156,1,Rajasthan,"Gmc Dausa Rajasthan, Gmc Dausa Mitrapura Bhandarej Mod Dausa"
9193,9193,1,Odisha,"Saheed Laxman Nayak Med. College And Hos., Koraput"
9314,9024,3,Maharashtra,Govt Medical College Baramati
9413,8154,6,Karnataka,"Shimoga Inst. Of Medical Sci., Shimoga"
9427,9427,1,Tamil Nadu,Govt. Sivgangai M. C. Sivagangai
9450,8269,6,Tamil Nadu,Govt. Medical College Karur
9616,9300,2,Haryana,"Shkm Gmc, Nalhar"
9623,8060,3,Jharkhand,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad"
9655,8556,4,Uttarakhand,"Government Medical College, Haridwar"
9675,8182,4,Andhra Pradesh,"Siddartha Medical College, Vijayawada"
9704,9123,4,,"Bundelkhand Medical College, Sagar"
9708,9708,1,Andhra Pradesh,"Rims, Ongole"
9732,8059,8,West Bengal,"Esic Pgimsr, Joka"
