College _Name,,State,Year of Inception,"R1 Closing Rank
2022","Total 
Seat Alloted in R1","R2 Closing Rank
2022","Total 
Seat Alloted in R2","R3 Closing Rank
2022","Total 
Seat Alloted in R3"
DREAM OPTIONS,,,,,,,,,
"AIIMS, New Delhi",,Delhi,1956,55,48,61,2,--,--
JIPMER PUDUCHERRY,,Pondicherry,1956,302,51,--,--,--,--
"Maulana Azad Medical College, New Delhi",,Delhi,1958,91,14,107,2,--,--
"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",,Delhi,2002,129,10,--,--,--,--
"University College of Medical Sciences, New Delhi",,Delhi,1971,191,10,217,2,--,--
"SETH G.S. MEDICAL COLLEGE, MUMBAI",,Maharashtra,1925,697,12,--,--,5288,1
"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",,Delhi,2008,173,5,--,--,--,--
"Dr. B.S.A. Medical College, Delhi",,Delhi,2016,767,7,879,2,--,--
"NDMC Medical College, Delhi",,Delhi,2013,909,3,1069,2,--,--
"INST.OF MED.SCIENCES, BHU,VARANASI",,Uttar Pradesh,1960,866,39,940,6,2735,1
"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",,Chandigarh,1991,313,8,91,1,--,--
"AIIMS, Jodhpur",,Rajasthan,2012,569,48,502,1,--,--
"AIIMS, Rishikesh",,Uttarakhand,2012,839,47,817,8,2908,2
AIIMS-Bhopal,,Madhya Pradesh,2012,576,48,579,4,--,--
"AIIMS, Bhubaneswar",,Odisha,2012,564,48,72,1,--,--
"KGMC, LUCKNOW",,Uttar Pradesh,1911,1026,14,1457,6,--,--
"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",,Maharashtra,1845,1767,15,2045,11,7177,6
"S.M.S. MEDICAL COLLEGE, JAIPUR",,Rajasthan,1947,829,13,959,3,3767,1
"AIIMS, Nagpur",,Maharashtra,2018,1328,48,1190,5,--,--
"AIIMS, Patna",,Bihar,2012,1461,49,1537,14,2737,1
"AIIMS, Raipur",,Chhattisgarh,2012,1052,47,1082,8,--,--
"LOKMANYA TILAK  MUNICIPAL M C,MUMBAI",,Maharashtra,1964,2573,13,4857,10,8562,3
"TOPIWALA NATIONAL MEDICAL COLLEGE,MUMBAI",,Maharashtra,1964,2899,8,5193,7,6057,1
"RUHS College of Medical Sciences, Jaipur",,Rajasthan,2014,1898,10,3281,9,4313,2
"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE",,Maharashtra,1964,1642,15,3321,6,7779,3
"B.J. MEDICAL COLLEGE, AHMEDABAD",,Gujarat,1946,630,16,--,--,--,--
"AIIMS, Gorakhpur",,Uttar Pradesh,2019,2606,49,2214,10,4518,3
"MEDICAL COLLEGE, KOLKATA",,West Bengal,1838,1646,15,1855,2,--,--
