closing_AIR_2026_R1,opening_AIR,R1_gen_seats,institute
124,56,10,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029"
129,60,14,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi"
166,133,7,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi"
435,196,8,"University College of Medical Sciences & GTB Hospital, New Delhi,Dilshad Garden"
672,325,14,"Madras Medical College, Chennai,MADRAS MEDICAL COLLEGE EVR PERIYAR SALAI,PARK TOWN,CHENNAI,TAMIL NADU."
704,139,11,"Government Medical College, Chandigarh,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH"
830,251,11,"Lady Hardinge Medical College, New Delhi,Lady Hardinge Medical College, Shaheed Bhagat Singh Marg, New Delhi (Female Seat only )"
1094,43,12,"B J Medical College, Ahmedabad,B.J. Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016"
1121,584,8,"SMS Medical College, Jaipur,JLN Marg, Jaipur"
1128,228,13,"Seth GS Medical College, Mumbai,ACHARYA DONDE MARG PAREL MUMBAI"
1180,693,11,"Stanley Medical College, Chennai,No.1, Old Jail Road Chennai"
1226,418,6,"Government Medical College, Kozhikode, Calicut,Principal, Govt. Medical College, Medical College (P.O)- Kozhikode"
1349,308,14,"King George Medical University, Lucknow,SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003"
1357,882,6,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE AND HOSPITAL, ROHINI SEC-6, DELHI-110085"
1774,109,15,"Bangalore Medical College and Research Institute, Bangalore,K R ROAD FORT BENGALURU"
1910,1289,5,"Medical College, Thiruvananthapuram,OFFICE OF THE PRINCIPAL,GOVT.MEDICAL COLLEGE THIRUVANANTHAPURAM,MEDICAL COLLEGE PO,KERALA"
1942,1199,7,"Kilpauk Medical College, Chennai,No. 822, EVR Periyar salai, Kilpauk,Chennai"
2217,1758,4,"North Delhi Muncipal Corporation Medical College, Delhi,North Delhi Municipal Corporation Medical College and Hindu Rao Hospital, Malka Ganj"
2354,2043,3,"Government Medical College, Omandurar,NO.169, GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, OMANDURAR GOVERNMENT ESTATE, WALLAJAH ROAD, TRIPLIC"
2379,1215,15,"Grant Medical College, Mumbai,Sir JJ Group of Hospital Compound, Sir JJ Road, Byculla Mumbai"
2445,855,26,"Central Armed Police Forces Institute of Medical Sciences Maidangarhi (AIIMS CAPFIMS) Asola Delhi,AIIMS-CAPFIMS, Asola, Maidan Garhi, New Delhi"
2602,2178,4,"Government Medical College, Kottayam,GANDHINAGAR P O KOTTAYAM KERALA 686008"
2650,1890,8,"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow,Vibhuti Khand Gomti Nagar Lucknow"
2736,1687,11,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai,Dr. Babasaheb Ambedkar Road, Sion, Mumbai"
2738,2410,4,"Madurai Medical College, Madurai,PANAGAL ROAD MADURAI, Tamil Nadu, 625020"
2756,1561,10,"Gandhi Medical College, Secunderabad,MUSHEERABAD, SECUNDERABAD"
2770,498,15,"B. J. Govt. Medical College, Pune,Sassoon Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune"
2795,417,15,"MEDICAL COLLEGE, KOLKATA,88, College Street, Kolkata-700073"
2800,437,13,"Government Medical College, Srinagar,Administrative Block Government Medical College Karan Nagar Srinagar"
2897,2231,2,"Chengalpattu Medical College, Chengalpattu,GST ROAD, CHENGALPATTU-603 001 CHENGALPATTU DISTRICT"
2924,1232,4,"RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES, SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033"
3035,949,15,"SCB Medical College, Cuttack,Mangalabag, Kataka"
3048,522,8,"Coimbatore Medical College, Coimbatore,CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE"
3061,176,15,"Medical College, Baroda,Government Medical College Baroda, Anandpura, Vadodara Pin No 390001"
3091,880,6,"Government Medical College, Thrissur,Govt.Medical College,Thrissur,Medical College P.O, Pin -680596, Thrissur District."
3096,1462,8,"Sardar Patel Medical College, Bikaner,MEDICAL COLLEGE ROAD, BIKANER"
3099,2296,4,"Indira Gandhi Medical College, Shimla,IGMC SHIMLA NEAR LAKKAR BAZAR SHIMLA"
3368,1012,14,"Institute of Postgraduate Medical Education & Research, Kolkata,244 AJC Bose Road, Kolkata"
3399,2623,2,"ESIC Medical College & Hospital, Basaidarapur, New Delhi,ESIC MEDICAL COLLEGE AND HOSPITAL BASAIDARAPUR, New Delhi"
3570,2157,10,"Patna Medical College, Patna,ASHOK RAJPATH, PATNA"
3572,2538,8,"Topiwala National Medical College, Mumbai,Dr. A.L. Nair Road, Mumbai Central, Mumbai"
3653,1018,12,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana),Pt. B.D. Sharma PGIMS, Rohtak"
3695,1750,13,"Dr SN Medical College, Jodhpur,RESIDENCY ROAD SHASTRI NAGAR JODHPUR RAJASTHAN 342003"
3776,1277,14,"Osmania Medical College, Hyderabad,HYDERABAD"
3949,2380,11,"Government Medical College, Patiala,Sangrur road Government Medical College, Patiala"
3971,2901,12,"R N T Medical College, Udaipur,Opposite Court Chourha, Udaipur"
3998,634,11,"Shri Atal Bihari Vajpayee Medical College & Research Institute,SHIVAJINAGAR, BENGALURU"
4022,57,13,"Government Medical College, Surat,Out Side Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001"
4044,2394,14,"Government Medical College, Nagpur,Hanuman Nagar,Nagpur"
4060,1811,12,"Mysore Medical College and Research Instt. (Prev.name Government Medical College), Mysore,Mysore Medical College and Research Institute,Irwin Road, Mysore"
4163,1112,13,"M G M Medical College, Indore,AB ROAD INDORE"
4166,2798,9,"Employees State Insurance Corporation Medical College, Faridabad,NH 3 NIT FARIDABAD, Haryana, 121001"
4191,3104,11,"H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital, Juhu, Mumbai,JUHU, VILEPARLE WEST MUMBAI"
4298,3675,4,"T D Medical College, Alleppey (Allappuzha),GOVERNMENT T.D.MEDICAL COLLEGE, VANDANAM.PO, ALAPPUZHA"
