closing_AIR_2026_R1,opening_AIR,R1_gen_seats,institute
8054,6214,4,"Theni Government Medical College, Theni,G. Vilakku, Shanmugasundarapuram village, Aundipatti Taluk, Theni District, Tamilnadu"
8078,3932,12,"RG Kar Medical College, Kolkata,R G Kar Medical College 1 Khudiram bose sarani, Kolkata"
8120,4652,5,"Government Medical College, Thiruvallur,BLOCK 1 MASTER PLAN COMPLEX, THIRUVALLUR COLLECTORATE, PERUMBAKKAM VILLAGE, THIRUVALLUR, TAMIL NADU"
8125,6758,3,"Government Medical College, Wayanad,Government Medical College, Wayanad, Mananthavady P.O., Wayanad, Kerala- 670645"
8145,6158,6,"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P,Dr. Radhakrishnan Government Medical College,Hamirpur, Himachal Pradesh-177001"
8198,6919,4,"Government Medical College, Nahan, Sirmour H.P.,Nahan, District Sirmaur, Himachal Pradesh"
8212,7630,4,"Government Medical College, Alwar,Government Medical College Alwar Jail Circle alwar"
8301,7082,2,"ESIC Medical College and Hospital, VARANASI,ESIC MEDICAL COLLEGE AND HOSPITAL, PANDEYPUR,VARANASI U. P. 221002"
8311,4189,9,"Kurnool Medical College, Kurnool,BUDHAWARPET, KURNOOL."
8436,8436,1,"Government Medical College Kasaragod,Govt. Medical College, Kasaragod, Ukkinadka, Badiadka panchayath, Kerala-671552"
8498,2255,9,"Rangaraya Medical College, Kakinada,PITHAPURAM ROAD, KAKINADA"
8528,8175,3,"Government Medical College, Chittorgarh,Government Medical College Chittorgarh Bojunda - Udaipur Road Chittorgarh"
8556,4358,3,"Indira Gandhi Medical College & Research Institute, Puducherry,Vazhudavour Road, Kadirkamam"
8562,7591,3,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur,Ambala Road, Pilakhni, Saharanpur"
8626,6958,7,"College of Medicine and Sagore Dutta Hospital, Kolkata,578, B.T. Road, Kamarhati, Kolkata"
8651,4086,5,"Government Medical College, Haridwar,Jagjeetpur Laksar road Haridwar"
8727,2176,6,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA,BMIMS, PAWAPURI NALNADA"
8744,3168,3,"Thoothukudi Medical College, Thoothukudi,KAMARAJ NAGAR, 3rd MILE, THOOTHUKUDI"
8759,6040,7,"KanyaKumari Government Medical College, Asaripallam,ASARIPALLAM, KANYAKUMARI DISTRICT-629201"
8767,6840,5,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad,Shri Atal Bihari Vajpayee Government Medical College Chhainsa Faridabad"
8797,8440,6,"Pt. Jawahar Lal Nehru Government Medical College, Chamba,Pt. Jawaharlal Nehru Govt. Medical College Chamba"
8812,6979,5,"NAMO Medical Education & Research Institute, Govt Medical College Silvassa,NAMO Medical Education and Research Institute, next to Sayli cricket stadium, Sayli Road, Silvassa"
8863,7521,13,"Shyam Shah Medical College, Rewa,NEAR DHOBIYA TANKI, JAIL ROAD, REWA"
8867,8256,3,"Government Medical College, Sri Ganganagar,Government Medical college sriganganagar rajasthan"
9004,7751,4,"Government Medical College, Barmer,NH-15, JAISALMER ROAD, VILLAGE-JALIPA, BARMER"
9070,7684,7,"Dr. Bhimrao Ramji Ambedkar, Government Medical College, Kannauj, U.P.,Tirwa Road, Kannauj"
9088,7879,2,"Government Medical College, Sirohi,SIROHI SHIVGANJ HIGHWAY,NEAR AMBESHWAR ,VILLAGE- KOLAR, TEHSIL- SIVGANJ,DIST- SIROHI"
9122,5254,11,"Kakatiya Medical College, Warangal,SVP Road, Warangal"
