college,state,R1_closing_AIR,official_url,disclosure_found,disclosure_url,scribd_found,scribd_url,verdict,sessions_exposed,checked_date,notes
"Gvmc, Villupuram",Tamil Nadu,8176,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Government Medical College Suryapet,Telangana,8209,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Govt. Dharamapuri Med Coll, Dharmapuri",Tamil Nadu,8228,https://dharmapurimedicalcollege.in,N,,N,,PASS,,2026-08-19,Shared TN CMS. Probed the family list paths directly: /page/list-of-student and /page/student-merit-list both 302 (absent) on this domain. No HOT links on site. TN re-host sweep clean.
"Irt Perundurai Medical College, Perundurai",Tamil Nadu,8374,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Sri Venkateswara Medical College, Tirupati",Andhra Pradesh,8815,https://svmctpt.edu.in,Y,https://svmctpt.edu.in/information-as-per-mci-regulations,N,,FAIL,"UG 2022-23 (240 rows, =240 MBBS seats); UG 2021-22 (227 rows); 2019-2020 (scanned image); further UG 2020-21 + MBBS admissions PDFs linked",2026-08-19,NMC B.1.11 MSRR disclosure page links all-entrant UG name lists (serial+name rows). All-entrant list includes AIQ. CONTRADICTS brief section 3 prior that AP/NTR-UHS states are PASS-rich.
"Indira Gandhi Medical College & Ri, Puducherry",Puducherry,8875,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Tiruppur",Tamil Nadu,8914,https://gmchtiruppur.ac.in,N,https://tiruppurmedicalcollege.in/page/student-merit-list,N,,PASS,,2026-08-19,Student Merit List page exists but was inspected and holds only admission-process PDF + Student Council 2026 - no MBBS entrant roster.
"Hassan Inst. Medical Sciences, Hassan",Karnataka,8923,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Kakatiya Medical College Warangal,Telangana,8974,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Nilgiris",Tamil Nadu,9034,https://gmchnilgiris.ac.in (alias nilgirismedicalcollege.com),Y,https://nilgirismedicalcollege.com/page/list-of-student,N,,FAIL,"batch 2024-25 (hdr Student Name, 70 rows); batch 2025-26 (hdr NAME, serials to 150) - CURRENT session exposed",2026-08-19,College-hosted List of Student page with per-batch name PDFs. All-entrant list => includes AIQ. Highest-severity find: current 2025-26 intake already named. CONTRADICTS brief section 3 prior that TN is PASS-rich.
"Shimoga Inst. Of Medical Sci., Shimoga",Karnataka,9413,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Govt. Sivgangai M. C. Sivagangai,Tamil Nadu,9427,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Govt. Medical College Karur,Tamil Nadu,9450,https://karurgmc.ac.in,N,,N,,PASS,,2026-08-19,"Full site scan: no admitted-students, MSR/B.1.11, or student-list link (only about/admission-process/academics/clubs/RTI). Confirms brief seed PASS."
"Siddartha Medical College, Vijayawada",Andhra Pradesh,9675,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Rims, Ongole",Andhra Pradesh,9708,https://gmcongole.org,N,,N,,PASS,,2026-08-19,"84 links scanned; UG/PG admission pages are process+stipend info, no name roster. Notable given SVMC Tirupati (same state) FAILs."
"Thiruvannamalai Mc, Thiruvannamalai",Tamil Nadu,9897,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Rajah Muthiah Medical College, Annamalai Universit",Tamil Nadu,9926,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Dindigul",Tamil Nadu,9955,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Esic Medical College, Gulbarga",Karnataka,9966,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
